Interface              IP-Address      OK? Method Status                Protocol
Vlan1                  unassigned      YES NVRAM  up                    up
GigabitEthernet0/0     10.106.26.210   YES NVRAM  administratively down down
Te1/0/1                10.106.26.210   YES NVRAM  up                    up
Te1/0/2                unassigned      YES unset  down                  up
Te1/0/3                unassigned      YES unset  up                    up
Te1/0/4                unassigned      YES unset  down                  down
Te1/0/5                unassigned      YES unset  up                    up
Te1/0/6                unassigned      YES unset  down                  down
GigabitEthernet1/1/1   unassigned      YES unset  down                  down
GigabitEthernet1/1/2   unassigned      YES unset  down                  down
GigabitEthernet1/1/3   unassigned      YES unset  up                    down    
